Year,College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,134,113,,104.5,,,97,,
2021,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",AD,Artificial Intelligence and Data Science,157.29,118,151.525,146.33,,134.275,131.755,,
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",AG,AGRICULTURAL ENGINEERING,104.5,88.5,,87.5,,,,,
2021,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",AG,AGRICULTURE ENGINEERING,142.56,,,,,120.11,,,
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",CE,CIVIL ENGINEERING,113,101,,92,,,,,
2021,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",CE,CIVIL ENGINEERING,132.67,,,,,,,,
2020,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",CE,Civil Engineering,80,,,,,,,,
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",CS,COMPUTER SCIENCE AND ENGINEERING,137,85,113,121,,,80.5,,
2021,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",CS,COMPUTER SCIENCE AND ENGINEERING,169.5,141.42,137.055,115.42,158.715,155,107,130.695,
2020,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",CS,Computer Science and Engineering,115.5,84,93,94.5,,,82.5,100.5,
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,121,90,114.5,101.5,,,89.5,80.5,
2021,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,146.76,107,,,,133.045,145.76,,
2020,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",EC,Electronics and Communication Engineering,115.5,88,103.5,84,,,80,113,
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,102,81,,91,,,84,,
2021,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,160.085,147.955,,,,148.815,,,
2020,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",EE,Electrical and Electronics Engineering,89.5,82.5,,80,,,80.5,,89.5
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",IT,INFORMATION TECHNOLOGY,140,98,102,114,,,,,91.5
2022,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",ME,MECHANICAL ENGINEERING,82,,,80,,,,,
2021,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",ME,MECHANICAL ENGINEERING,95,,,,,,,,
2020,2345,"Dhirajlal Gandhi College of Technology, Sikkanampatty, (Opp. to Airport), Omalur Taluk, Salem District 636309",ME,Mechanical Engineering,81,,,80,,,80.5,,80
