Year,College Code,College Name,Branch Code,Branch Name,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,171,159.5,129.5,159.475,,,,82,
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,166.5,158.495,140.5,145,,,149,,
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CE,CIVIL ENGINEERING,133,104.5,,112,,,108,,
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CS,COMPUTER SCIENCE AND ENGINEERING,177.5,164,142,157.5,,,89,108.5,113
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,166,157,129,143.5,,,95.5,109.5,
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,158,152,134.5,142,,,,,143.65
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",IT,INFORMATION TECH NOLOGY,177,163,156,162.5,,,102.5,107.5,
2022,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",ME,MECHANICAL ENGINEERING,126.5,83,,92,,,112.5,92,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",AD,Artificial Intelligence and Data Science,175.035,172.41,162.595,166.46,157.715,169.135,138.475,,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,175.295,170.955,160.325,164.975,159.475,165.67,129.89,143.385,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CE,CIVIL ENGINEERING,152.905,141.155,,,,146.145,,,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CS,COMPUTER SCIENCE AND ENGINEERING,180,174.295,164.725,172.21,164.825,169.595,124.5,154.465,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,174.89,169.765,156.34,165.575,159.58,167.69,114.5,,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,172.725,165.1,,161.625,155.615,166.015,126.56,,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",IT,INFORMATION TECHNOLOGY,178.055,174.33,167.385,176.77,167.71,169.295,128.56,134.415,
2021,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",ME,MECHANICAL ENGINEERING,162.265,146.99,116.045,151.99,145.725,135.99,,,
2020,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CB,Computer Science and Business System,125.5,112.5,,84.5,,,109.5,,
2020,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CE,Civil Engineering,103.5,97,,80,,,,,
2020,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",CS,Computer Science and Engineering,149.5,131,89.5,113,,,91,96,
2020,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",EC,Electronics and Communication Engineering,128,105,96.5,92,,,,,
2020,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",EE,Electrical and Electronics Engineering,130,97.5,111.5,112.5,,,88,80,
2020,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",IT,Information Technology,134,122.5,,103,,,88.5,,
2020,2653,"Knowledge Institute of Technology, KIOT Campus, Kakapalayam Post, Salem District 637504",ME,Mechanical Engineering,99.5,84,82,80,,,,,
